Tender,Company,Procurement,Notice,Location,Closing,Value,Date
TRG Cladding Remediation Framework,The Riverside Group Limited,  Opportunity,  Open,  L24 8RF,"  28 May 2024, 12pm",  £0,"  26 April 2024, last edited 29 April 2024"
Soft Market Testing - The City of London Emergency and Temporary Accommodation Framework,City of London Corporation,  Early engagement,  Open,  London,  30 April 2024,"Publication date 16 April 2024, last edited 29 April 2024",None
Swan House Housing Management,NORTH EAST LINCOLNSHIRE COUNCIL,  Opportunity,  Open,  Yorkshire and the Humber,"  31 May 2024, 12pm","  £0 to £1,560,000",  29 April 2024
"Automatic Doors, Barriers and Gates (Civic and Commercial Properties) 2024-26",Leeds City Council,  Opportunity,  Open,  LS1 1UR,"  28 May 2024, 12pm",  £0,  29 April 2024
GB-Liverpool: Brand Evolution Project,The ACC Liverpool Group Limited,  Opportunity,  Open,  North West,"  29 May 2024, 12pm","  £25,000 to £50,000",  29 April 2024
Practitioner in Freedom of Information,Shared Services Connected Limited,  Opportunity,  Open,  United Kingdom,"   6 May 2024,  9am","  £18,000 to £25,000",  29 April 2024
COV - West Midlands Independent Fostering Agency Framework,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  31 May 2024, 12pm","  £0 to £2,750,000,000","  29 April 2024, last edited 29 April 2024"
Closed Landfill Monitoring,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"  30 May 2024, 10am","  £500,000",  29 April 2024
Removal and Storage of Bodies on behalf of His Majesty's Coroner - Area 7 Norwich,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  29 May 2024, 11am","  £150,000","  29 April 2024, last edited 29 April 2024"
Content Management: National Trails website 2024/25,Natural England,  Opportunity,  Open,  United Kingdom,"   3 May 2024,  5pm","  £1 to £25,000","  19 April 2024, last edited 29 April 2024"
GB-Bristol: Contract for the 2023 OfS Teaching Excellence Framework (TEF) evaluation,Office for Students,  Opportunity,  Open,  South West,"   7 June 2024, 10am","  £50,000 to £100,000",  29 April 2024
Asbestos Testing Services,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  24 May 2024, 12pm",  £0,  29 April 2024
Manual Lathes - 2024,University of Hertfordshire,  Opportunity,  Open,  AL10 9AB,"  15 May 2024,  5pm","  £0 to £132,000",  29 April 2024
International Maritime Surveillance Services for Marine Management Organisation,Defra,  Opportunity,  Open,  PE2 8YY,"  23 May 2024,  9am","  £1,500,000",  29 April 2024
TfL 96820 DevOps Engineer (ST0825) Apprenticeship Scheme,Transport for London,  Future opportunity,  Open,  London,Approach to market date 29 April 2024,"  £204,000",  29 April 2024
The provision of financial advisors to support the delivery of the Safety Valve programme,Department for Education,  Opportunity,  Open,  Any region,"  20 May 2024, 12pm","  £0 to £83,200","  29 April 2024, last edited 29 April 2024"
QEHKL183 Cyber Ho Maintenance,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,  Opportunity,  Open,  PE30  4ET,"  14 June 2024, 12pm","  £115,000",  29 April 2024
Contractor for Redruth Former Library,REDRUTH FORMER LIBRARY CIC,  Opportunity,  Open,  TR15 2QE,"  12 May 2024, 12pm","  £0 to £36,000",  29 April 2024
Gloucestershire Young people therapeutic residential - diagnostic review into the need for Tier 2 drug and alcohol services.,Gloucestershire County Council,  Opportunity,  Open,  United Kingdom,"   3 May 2024, 11:59pm","  £15,000",  29 April 2024
The Barn Day Nursery Alteration Works,The Barn Day Nursery,  Opportunity,  Open,  South West,"  24 May 2024,  5pm","  £40,000 to £50,000",  29 April 2024
Supply Chain Notice: FDIS - Colchester External Refurbishments to 28 properties - FY2024/25 - Amey Central Region - East,Ministry of Defence,  Opportunity,  Open,  East of England,"  16 May 2024, 11:59pm","  £870,000",  29 April 2024
Printing of 'Our North Tyneside' Magazine 2024,North Tyneside Council,  Opportunity,  Open,  NE27 0BY,"  31 May 2024, 12pm","  £80,000","  26 April 2024, last edited 29 April 2024"
Advanced Practitioner PJ,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  30 April 2024,  1pm","  £8,763","  29 April 2024, last edited 29 April 2024"
Understanding post project recycling behaviours and attitudes from  flats above shops.,London Waste & Recycling Board,  Opportunity,  Open,  London,"  24 May 2024,  5pm","  £35,000","  29 April 2024, last edited 29 April 2024"
Supply Chain Notice:  WC1133367 - (CY) Demolition Works CIDP23,Ministry of Defence,  Opportunity,  Open,  B37 7ES,"   7 May 2024, 11:59pm","  £500,000",  29 April 2024
Parks Furniture,Southampton City Council,  Opportunity,  Open,  South East,"  21 May 2024,  4pm","  £98,000","  29 April 2024, last edited 29 April 2024"
Grounds Maintenance 2024,Hull College,  Opportunity,  Open,  HU1 3DG,"  10 May 2024, 12pm","  £50,000 to £200,000","  12 April 2024, last edited 29 April 2024"
Minor Works Services (for schemes up to £1m ex vat),NEUPC Ltd,  Opportunity,  Open,  North East,"  29 May 2024, 12pm","  £40,000,000",  29 April 2024
GB-Colchester: 0366 - Legionella Risk Assessments & Monitoring Programme,Colchester City Council,  Opportunity,  Open,  East of England,"  28 May 2024, 12pm","  £100,000 to £500,000","  26 April 2024, last edited 29 April 2024"
Solicitor - Prosecutions and Licensing,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"   2 May 2024,  4pm","  £10,691.52 to £11,854.80",  29 April 2024
Principal Commercial and Contracts Solicitor,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  30 April 2024, 12pm","  £13,098 to £13,888",  29 April 2024
Principal Commercial and Contracts Lawyer (Public Health),Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  30 April 2024, 12pm","  £13,098 to £13,888",  29 April 2024
"Bowgie Inn, Crantock Newquay Cornwall, Extension to Existing Solar Panels",BOWGIE INN LIMITED,  Opportunity,  Open,  South West,"  15 May 2024,  5pm","  £90,000 to £110,000","  15 April 2024, last edited 28 April 2024"
Woolwell Centre roof,Bickleigh Parish Council,  Opportunity,  Open,  PL67TR,"  17 May 2024,  7pm","  £20,000 to £35,000",  28 April 2024
SMG Security Survey,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  17 May 2024, 11:59pm","  £0 to £50,000","  18 April 2024, last edited 28 April 2024"
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  15 July 2024, 12pm",  £0,  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   1 July 2024, 12pm",  £0,  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  24 June 2024, 11am",  £0,  26 April 2024
Tree Maintenance - Planned - Tree Maintenance - Planned - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   1 July 2024, 11am",  £0,  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   3 June 2024, 10am",  £0,  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  15 May 2024, 10am",  £0,  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  14 May 2024, 10am",  £0,  26 April 2024
Wildlife Photographer of the Year Touring Exhibition Photographic Printing,Natural History Museum Trading Company Limited,  Opportunity,  Open,  Any region,"  31 May 2024, 12pm","  £263,000",  26 April 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  13 May 2024, 10am",  £0,  26 April 2024
"Structural Reconfiguration of a Ports terminal Building, St Helier, Jersey, Channel Islands",Ports of Jersey,  Opportunity,  Open,  Channel Islands,"  20 May 2024,  9am",  £0,  26 April 2024
Responsive Maintenance Framework,Curo Group,  Opportunity,  Open,  BA2 1EP,"  28 May 2024, 12pm","  £7,000,000 to £14,000,000",  26 April 2024
Framework for the Provision of acceptance and processing of Green Waste,The North Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  29 May 2024,  9am","  £2,171,684",  26 April 2024
1732 Consultancy Training and Cost Benchmarking Service for NHS AGEM CSU,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  DE1 3QT,"  10 May 2024,  5pm",  £0,  26 April 2024
"Beechwood Close Retaining Wall, Bowness-on-Windermere",Westmorland and Furness Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £150,000",  26 April 2024
PPM Emergency Lighting and Remedial Work,Mersey and West Lancashire Teaching Hospitals NHS Trust,  Opportunity,  Open,  PR8 6PN,"   3 June 2024, 12pm",  £0,  26 April 2024
TDC Instructor Locker Room Renovation,South Yorkshire Fire and Rescue Service,  Opportunity,  Open,  Yorkshire and the Humber,"  22 May 2024,  5pm",  £0,  26 April 2024
NUN - Reactive Minor Building Repairs - Responsive Repairs Team,Nuneaton and Bedworth BC (NUN),  Opportunity,  Open,  CV11 5AA,"  24 May 2024, 12pm","  £0 to £300,000","  26 April 2024, last edited 26 April 2024"
Harlington Refurbishment,The Harlington,  Opportunity,  Open,  GU51 4BY,"  17 May 2024,  5pm",  £0,"  12 April 2024, last edited 26 April 2024"
Request for Information: Travel Management Company for Action for Children,Action For Children,  Opportunity,  Open,  WD18 8AG,"   7 June 2024, 12pm",  £0,  26 April 2024
Provision of YMCA Refurbishment / Upgrade Works,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  S70 2TA,"  24 May 2024, 12pm","  £1,800,000",  26 April 2024
"Cambridgeshire County Council Residential, Fostering and Supported Accommodation Provider Forum 1st May 2024",Cambridgeshire County Council,  Early engagement,  Open,  East of England,   8 May 2024,Publication date 26 April 2024,None
Early Market Engagement for event management for the Reshaping Legal Services Conference March 2025,LEGAL SERVICES BOARD,  Early engagement,  Open,  London,  24 May 2024,"Publication date 26 April 2024, last edited 26 April 2024",None
Vehicle Purchase: Panel Van,Test Valley Borough Council,  Opportunity,  Open,  South East,"  10 May 2024, 12pm","  £25,000 to £35,000",  26 April 2024
Adoption in Merseyside (AiM) Adoption Support Services,Sefton Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £170,000 to £510,000",  26 April 2024
Management System for Alive West Norfolk,Borough Council of King's Lynn & West Norfolk,  Opportunity,  Open,  East of England,"  31 May 2024, 12pm","  £180,000",  26 April 2024
16-19 Study Programme Offer: Surrey (Football),Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £35,000",  26 April 2024
Sports subcontracting in Surrey (basketball),Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £21,000",  26 April 2024
Purchase of Student Engagement Platform,Brunel University London,  Opportunity,  Open,  UB8 3PH,"  30 May 2024,  4pm","  £165,000",  26 April 2024
Grounds Maintenance Services for Parks and Open Spaces,Teignbridge District Council,  Opportunity,  Open,  South West,"  28 May 2024, 12pm","  £6,620,000","  26 April 2024, last edited 26 April 2024"
16-19 Study Programme Offer: Berkshire (Football),Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £137,000",  26 April 2024
Supported Internship - Oxfordshire,Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £90,000",  26 April 2024
Supported Internship - Berkshire,Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £77,000",  26 April 2024
16-19 Study Programme Offer - Oxfordshire,Activate Learning,  Opportunity,  Open,  South East,"   3 May 2024, 11pm","  £310,000",  26 April 2024
Retail Opportunity at Darlington Memorial Hospital,SYNCHRONICITY CARE LTD.,  Opportunity,  Open,  North East,"  10 May 2024, 12pm",  £0,  26 April 2024
NEWS Bulk Haulage Tender 2024,Norse Commercial Services Ltd,  Opportunity,  Open,  East of England,"   3 June 2024, 11am","  £1,323,000",  26 April 2024
"Airfield Business Park, Market Harborough",Leicestershire County Council,  Opportunity,  Open,  England,"  10 June 2024, 11:59pm","  £9,000,000 to £13,000,000","  28 March 2024, last edited 26 April 2024"
WDC - Royal Pump Rooms roof restoration,Warwick District Council (WDC),  Opportunity,  Open,  CV32 5HZ,"   3 June 2024, 12pm","  £2,000,000","  25 April 2024, last edited 26 April 2024"
Royal Cornwall Museum - Roof Replacement Works (MEND),THE ROYAL INSTITUTION OF CORNWALL,  Opportunity,  Open,  TR1 2SJ,"  31 May 2024,  5pm","  £750,000","  24 April 2024, last edited 26 April 2024"
"Managed Services Solution for Removals, Storage, Relocation, Specialist Disposal and Associated Trades and Services",Nottinghamshire County Council,  Opportunity,  Open,  England,"  30 May 2024, 12pm","  £400,000",  26 April 2024
Catering Equipment,University of Bristol,  Opportunity,  Open,  BS1 5DS,"  31 May 2024, 10am","  £300,000",  26 April 2024
Projen Holidays Ltd- Solar Panel and Battery System,PROJEN HOLIDAYS LIMITED,  Opportunity,  Open,  South West,"  28 May 2024,  5pm","  £80,000 to £90,000",  26 April 2024
General Construction Multi Trade - GCMT - Commercial (20% VAT),London Borough of Bromley,  Opportunity,  Open,  United Kingdom,"  24 May 2024, 12pm","  £50,000 to £60,000",  26 April 2024
2115 Provision of Body Worn Video (BWV) Cameras,De Montfort University,  Opportunity,  Open,  LE1 9BH,"  17 May 2024,  5pm","  £0 to £49,000",  26 April 2024
Wider implementation of workforce reforms,Department of Health and Social Care,  Early engagement,  Open,  SW1H 0EU,  15 May 2024,Publication date 26 April 2024,None
"Vehicle Inspection, Maintenance, Recovery and Repair Services",Buckinghamshire Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £1,500,000",  26 April 2024
CA13988 - Eko Trust - M&E Maintenance & Compliance Services,Eko Trust,  Opportunity,  Open,  IG11 0HZ,"  28 May 2024, 10am",  £0,  26 April 2024
Fundraising for the Community and Youth Captial Project,Thame Town Council,  Opportunity,  Open,  OX9 3DP,"  17 May 2024, 10am",  £0,  26 April 2024
"MET POLICE__COUPA EVENT #1631_ Prior Information Notice (PIN) & Request for Information (RFI) - The Provision of Vehicle Disposal Services for MPS, Vehicle Recovery & Examination Services (VRES).",Metropolitan Police Service,  Early engagement,  Open,  London,   7 June 2024,Publication date 26 April 2024,None
GB-Kings Lynn: Target Hardening Services,Borough Council of King's Lynn & West Norfolk,  Opportunity,  Open,  East of England,"  27 May 2024, 12pm","  £10,000 to £25,000",  26 April 2024
45KVA Generator,MOTT MACDONALD LIMITED,  Opportunity,  Open,  Sierra Leone,"   6 May 2024,  9:15am","  £15,000",  26 April 2024
"Provision of Abri's  ""Cook Well, Eat Well"" Community Campaign",Abri,  Opportunity,  Open,  SO50 6AD,"  20 May 2024, 12pm","  £140,000 to £840,000","  26 April 2024, last edited 26 April 2024"
Insurance management system - market engagement,Somerset Council,  Early engagement,  Open,  England,  15 May 2024,Publication date 26 April 2024,None
Plymouth Heat Network Development Partner,Plymouth City Council,  Future opportunity,  Open,  England,Approach to market date  2 June 2025,"  £40,000,000",  26 April 2024
EHRC 2425-02 Scottish Parliamentary Monitoring,Equality and Human Rights Commission,  Opportunity,  Open,  Scotland,"  24 May 2024,  1pm","  £4,000 to £16,000","  26 April 2024, last edited 26 April 2024"
Print and Digital Communications,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  24 May 2024,  3pm","  £930,000,000","  22 April 2024, last edited 26 April 2024"
Provision of Office Furniture for Reading Borough Council & Reading Library - ESPO FW282_22,Reading Borough Council,  Opportunity,  Open,  RG1 2LU,"  24 May 2024, 11:59pm","  £1,200,000",  26 April 2024
"NCC1397 Bellingham Groundworks, Roads & Sewers",Advance Northumberland Limited,  Opportunity,  Open,  North East,"  24 May 2024, 12pm","  £1,400,074",  26 April 2024
"The Provision of Training Services - HYMC Offshore Training Programme,  Hull Maritime Project, Kingston upon Hull",Hull City Council,  Opportunity,  Open,  HU1 2AA,"  15 May 2024, 12pm","  £84,000",  26 April 2024
Allerton 4th and 5th Floor Asbestos Removal,UNIVERSITY OF SALFORD(THE),  Opportunity,  Open,  M5 4WT,"  15 May 2024, 12pm","  £240,000",  26 April 2024
Provision of Pharmaceutical Needs Assessment,Suffolk County Council,  Opportunity,  Open,  IP1 2BX,"  24 May 2024, 12pm","  £45,000","  25 April 2024, last edited 26 April 2024"
"Third Party Monitoring, Research and Accountability Programming in Ukraine",Foreign Commonwealth and Development Office,  Early engagement,  Open,  Any region,  31 December 2024,Publication date 26 April 2024,None
Winter Gardens project management and Quantity Surveying,East Suffolk Council,  Opportunity,  Open,  NR30 2QF,"  31 May 2024,  2pm",  £0,  26 April 2024
24019 RECAP Dry Mixed Recyclate Processing,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, and South Cambridgeshire District Council",  Opportunity,  Open,  PE28 4YE,"  28 May 2024, 12pm","  £111,300,000",  26 April 2024
24020 RECAP Dry Mixed Recyclate Bulking,"Cambridge City Council, East Cambridgeshire District Council, Fenland District Council, Huntingdonshire District Council, Peterborough City Council, and South Cambridgeshire District Council",  Opportunity,  Open,  PE28 4YE,"  28 May 2024, 12pm","  £7,500,000",  26 April 2024
Contract for The Provision of Fuel Poverty Support Services,London Borough of Waltham Forest,  Opportunity,  Open,  England,"  13 May 2024,  9am","  £41,000",  26 April 2024
IT Related Accessories and Parts (ITRAP),Southern Universities Purchasing Consortium (SUPC),  Opportunity,  Open,  Any region,"  29 May 2024, 12pm","  £0 to £100,000,000",  26 April 2024
